id;name;host_id;neighbourhood_group;latitude;longitude;is_entire_home;price;number_of_reviews;last_review
18910158;Charming Studio, 1 min from Casa Pilatos. S30;2950570;Casco Antiguo;37.39047;-5.98782;true;74;0;
18911105;ALFALFA. Bright & cozy studio. S20;2950570;Casco Antiguo;37.39068;-5.99119;true;69;3;11/07/2019
18921162;Fantástico apt 2 hab 5 px altas calidades P. Nueva;51048225;Casco Antiguo;37.38946;-5.99726;true;54;65;06/03/2020
18925488;Maravillosa habitación con terraza privada de lujo;88152191;Nervión;37.38411;-5.97412;false;60;3;18/01/2020
18927750;CENTRO_SAN LORENZO/ALAMEDA.VEN Y VERAS.. SEVILLA!;131800308;Casco Antiguo;37.39894;-5.99536;true;250;69;15/03/2020
18991267;Quiet Apartment with terrace and parking included;131960454;Casco Antiguo;37.39464;-5.99046;true;86;119;12/03/2020
19008600;GREAT APARTMENT IN THE CENTER OF SEVILLA WI-FI SAT;132615054;Casco Antiguo;37.39285;-5.99769;true;160;56;08/03/2020
19011168;Beautiful place in Barrio Sta Cruz;132633489;Casco Antiguo;37.38443;-5.99023;true;42;103;18/10/2020
19018153;Romantic Studio in City Center;132698376;Casco Antiguo;37.39923;-5.99149;true;37;289;10/01/2021
19021306;SR Very Spacious and Bright Apartment Sevilla Central;131960454;Casco Antiguo;37.39113;-5.99398;true;120;134;16/08/2020
19044041;Apartamento Bécquer;130451931;Casco Antiguo;37.40326;-5.99542;true;100;95;01/09/2020
19045393;Sevilla.Apartamento con garaje y piscina;132928072;Este - Alcosa - Torreblanca;37.40493;-5.92862;true;62;41;09/08/2020
19054527;Duplex en Triana, a orillas Del Río, con garaje.;133006949;Triana;37.38746;-6.0055;true;130;140;14/10/2020
19066333;Maravillosa habitación con terraza privada de lujo;88152191;Nervión;37.38232;-5.97003;false;60;1;06/01/2018
19066766;Maravillosa habitación en Casa céntrica de Lujo;88152191;Nervión;37.3843;-5.9734;false;50;3;01/01/2020
19067022;Maravillosa habitación céntrica,casa de lujo;88152191;Nervión;37.38359;-5.97487;false;60;0;
19067180;Maravillosa habitación céntrica en casa de Lujo;88152191;Nervión;37.38302;-5.97337;false;37;39;28/02/2020
19081577;Loft in the historical centre;107664696;Casco Antiguo;37.3952;-5.99262;true;63;166;08/12/2020
19085404;Jardines de los alcázares 8;54863577;Casco Antiguo;37.38242;-5.98815;true;30;26;19/01/2021
19096189;Double room in the center of Seville;115511059;Casco Antiguo;37.39654;-5.9849;false;100;23;08/02/2020
19105756;Hombre de Piedra. Studio for 2 VFT/SE/00090;89331773;Casco Antiguo;37.39942;-5.99626;true;73;27;21/03/2020
19109071;Exclusive apartment, elegant and well-located.;54657067;Casco Antiguo;37.39154;-6.00032;true;83;60;28/12/2019
19111395;Herbolario. 1 bedroom in the centre;89331773;Casco Antiguo;37.39029;-5.9921;true;86;36;01/01/2020
19112347;Salvador. 1-bedroom in the centre;89331773;Casco Antiguo;37.39078;-5.99215;true;83;10;23/02/2020
19113862;Gran ático de lujo en el centro de Sevilla;60075384;Casco Antiguo;37.39119;-5.98616;true;270;11;18/10/2019
